"player_name","team_abbreviation","age","player_height","player_weight","country","draft_number","gp","pts","reb","ast","ts_pct","from_US","draft_year_cat","is_tall","sc_level"
"Terrence Ross","PHX",32,200.66,93.439952,"USA",8,63,8.3,2.4,1.5,0.544,1,"Veteran",0,"Medium"
"Terance Mann","LAC",26,195.58,97.52228,"USA",48,81,8.8,3.4,2.3,0.619,1,"Early Prime",0,"Medium"
"Taurean Prince","MIN",29,198.12,98.883056,"USA",12,54,9.1,2.4,1.6,0.597,1,"Prime",0,"Medium"
"Talen Horton-Tucker","UTA",22,193.04,106.140528,"USA",46,65,10.7,3.2,3.8,0.508,1,"Early Prime",0,"Medium"
"Dennis Smith Jr.","CHA",25,187.96,92.98636,"USA",9,54,8.8,3.1,4.8,0.475,1,"Prime",0,"Medium"
"Derrick Rose","NYK",34,190.5,90.7184,"USA",1,27,5.6,1.5,1.7,0.463,1,"Veteran",0,"Low"
"Derrick White","BOS",28,193.04,86.18248,"USA",29,82,12.4,3.6,3.9,0.604,1,"Prime",0,"High"
"Desmond Bane","MEM",25,195.58,97.52228,"USA",30,58,21.5,5,4.4,0.606,1,"Early Prime",0,"High"
"Devin Booker","PHX",26,195.58,93.439952,"USA",13,53,27.8,4.5,5.5,0.601,1,"Prime",0,"High"
"Devin Vassell","SAS",22,195.58,90.7184,"USA",11,38,18.5,3.9,3.6,0.55,1,"Early Prime",0,"High"
"Devonte' Graham","SAS",28,185.42,88.45044,"USA",34,73,7.4,1.7,2.7,0.552,1,"Prime",0,"Medium"
"Dillon Brooks","MEM",27,198.12,102.0582,"Canada",45,73,14.3,3.3,2.6,0.494,0,"Prime",0,"High"
"Domantas Sabonis","SAC",27,215.9,108.86208,"Lithuania",11,79,19.1,12.3,7.3,0.668,0,"Prime",1,"High"
"Donovan Mitchell","CLE",26,185.42,97.52228,"USA",13,68,28.3,4.3,4.4,0.614,1,"Prime",0,"High"
"Donte DiVincenzo","GSW",26,193.04,92.079176,"USA",17,72,9.4,4.5,3.5,0.593,1,"Prime",0,"Medium"
"Dennis Schroder","LAL",29,185.42,78.017824,"Germany",17,66,12.6,2.5,4.5,0.545,0,"Veteran",0,"High"
"Doug McDermott","SAS",31,198.12,102.0582,"USA",11,64,10.2,2.2,1.4,0.59,1,"Veteran",0,"Medium"
"Deni Avdija","WAS",22,205.74,95.25432,"Israel",9,76,9.2,6.4,2.8,0.535,0,"Early Prime",1,"Medium"
"Dejounte Murray","ATL",26,195.58,81.64656,"USA",29,74,20.5,5.3,6.1,0.54,1,"Prime",0,"High"
"Danny Green","CLE",36,198.12,97.52228,"USA",46,11,5.5,1.3,0.5,0.617,1,"Veteran",0,"Low"
"Dario Saric","OKC",29,208.28,102.0582,"Croatia",12,57,6.4,3.6,1.3,0.583,0,"Veteran",1,"Medium"
"Darius Bazley","PHX",23,205.74,97.975872,"USA",23,43,5.2,3.2,0.9,0.524,1,"Early Prime",1,"Low"
"Darius Garland","CLE",23,185.42,87.089664,"USA",5,69,21.6,2.7,7.8,0.587,1,"Early Prime",0,"High"
"David Roddy","MEM",22,193.04,115.66596,"USA",23,70,6.7,2.8,0.8,0.519,1,"Young",0,"Medium"
"Davion Mitchell","SAC",24,182.88,91.625584,"USA",9,80,5.6,1.3,2.3,0.545,1,"Young",0,"Low"
"Davis Bertans","DAL",30,208.28,102.0582,"Latvia",42,45,4.6,1.2,0.5,0.618,0,"Veteran",1,"Low"
"Davon Reed","LAL",28,195.58,93.439952,"USA",32,43,2.1,1.4,0.5,0.471,1,"Prime",0,"Low"
"Day'Ron Sharpe","BKN",21,205.74,120.20188,"USA",29,48,4.7,4.2,0.8,0.581,1,"Young",1,"Low"
"De'Aaron Fox","SAC",25,190.5,83.91452,"USA",5,73,25,4.2,6.1,0.599,1,"Prime",0,"High"
"De'Andre Hunter","ATL",25,203.2,100.243832,"USA",4,67,15.4,4.2,1.4,0.563,1,"Early Prime",1,"High"
"De'Anthony Melton","PHI",25,187.96,90.7184,"USA",46,77,10.1,4.1,2.6,0.566,1,"Prime",0,"Medium"
"DeAndre Jordan","DEN",34,210.82,120.20188,"USA",35,39,5.1,5.2,0.9,0.731,1,"Veteran",1,"Low"
"DeMar DeRozan","CHI",33,198.12,99.79024,"USA",9,74,24.5,4.6,5.1,0.592,1,"Veteran",0,"High"
"Deandre Ayton","PHX",24,213.36,113.398,"Bahamas",1,67,18,10,1.7,0.617,0,"Prime",1,"High"
"Delon Wright","WAS",31,195.58,83.91452,"USA",20,50,7.4,3.6,3.9,0.581,1,"Prime",0,"Medium"
"Draymond Green","GSW",33,198.12,104.32616,"USA",35,73,8.5,7.2,6.8,0.592,1,"Veteran",0,"Medium"
"George Hill","IND",37,193.04,85.275296,"USA",26,46,5,1.8,2.4,0.61,1,"Veteran",0,"Low"
"Georges Niang","PHI",30,200.66,104.32616,"USA",50,78,8.2,2.4,1,0.61,1,"Prime",0,"Medium"
"Giannis Antetokounmpo","MIL",28,213.36,110.222856,"Greece",15,63,31.1,11.8,5.7,0.605,0,"Veteran",1,"High"
"Goga Bitadze","ORL",23,210.82,113.398,"Georgia",18,38,4.4,3.6,1,0.582,0,"Early Prime",1,"Low"
"Goran Dragic","MIL",37,193.04,86.18248,"Slovenia",45,58,6.3,1.4,2.6,0.514,0,"Veteran",0,"Medium"
"Gordon Hayward","CHA",33,200.66,102.0582,"USA",9,50,14.7,4.3,4.1,0.563,1,"Veteran",0,"High"
"Gorgui Dieng","SAS",33,208.28,112.490816,"Senegal",21,31,3.9,3.5,1.7,0.493,0,"Veteran",1,"Low"
"Grant Williams","BOS",24,198.12,107.047712,"USA",22,79,8.1,4.6,1.7,0.605,1,"Early Prime",0,"Medium"
"Grayson Allen","MIL",27,193.04,89.811216,"USA",21,72,10.4,3.3,2.3,0.612,1,"Prime",0,"Medium"
"Greg Brown III","POR",21,200.66,93.439952,"USA",43,16,1.8,1.2,0.2,0.421,1,"Young",0,"Low"
"Hamidou Diallo","DET",24,195.58,91.625584,"USA",45,56,9.3,3.5,1,0.593,1,"Prime",0,"Medium"
"Harrison Barnes","SAC",31,203.2,102.0582,"USA",7,82,15,4.5,1.6,0.632,1,"Veteran",1,"High"
"Herbert Jones","NOP",24,200.66,93.439952,"USA",35,66,9.8,4.1,2.5,0.567,1,"Young",0,"Medium"
"Immanuel Quickley","NYK",24,187.96,86.18248,"USA",25,81,14.9,4.2,3.4,0.578,1,"Early Prime",0,"High"
"Isaac Okoro","CLE",22,195.58,102.0582,"USA",5,76,6.4,2.5,1.1,0.614,1,"Early Prime",0,"Medium"
"Isaiah Hartenstein","NYK",25,213.36,113.398,"Germany",43,82,5,6.5,1.2,0.567,0,"Prime",1,"Low"
"Isaiah Jackson","IND",21,205.74,92.98636,"USA",22,63,7.2,4.5,0.8,0.595,1,"Young",1,"Medium"
"Isaiah Joe","OKC",23,190.5,74.84268,"USA",49,73,9.5,2.4,1.2,0.626,1,"Early Prime",0,"Medium"
"Gary Trent Jr.","TOR",24,195.58,94.800728,"USA",37,66,17.4,2.6,1.6,0.56,1,"Prime",0,"High"
"Gary Harris","ORL",28,193.04,95.25432,"USA",19,48,8.3,2,1.2,0.62,1,"Veteran",0,"Medium"
"Dwight Powell","DAL",31,208.28,108.86208,"Canada",45,76,6.7,4.1,0.9,0.738,0,"Veteran",1,"Medium"
"Dylan Windler","CLE",26,200.66,88.904032,"USA",26,3,1.7,0,0.3,0.833,1,"Early Prime",0,"Low"
"Dyson Daniels","NOP",20,200.66,90.264808,"Australia",8,59,3.8,3.2,2.3,0.503,0,"Young",0,"Low"
"Edmond Sumner","BKN",27,193.04,88.904032,"USA",52,53,7.1,1.5,1.3,0.597,1,"Prime",0,"Medium"
"Eric Gordon","LAC",34,190.5,97.52228,"USA",7,69,12.4,1.9,2.7,0.587,1,"Veteran",0,"High"
"Evan Fournier","NYK",30,198.12,92.98636,"France",20,27,6.1,1.8,1.3,0.471,0,"Veteran",0,"Low"
"Evan Mobley","CLE",22,210.82,97.52228,"USA",3,79,16.2,9,2.8,0.591,1,"Young",1,"High"
"Frank Jackson","UTA",25,190.5,92.98636,"USA",31,1,0,2,1,0,1,"Prime",0,"Low"
"Frank Kaminsky","HOU",30,213.36,108.86208,"USA",9,36,2.5,1.4,0.9,0.635,1,"Prime",1,"Low"
"Frank Ntilikina","DAL",24,193.04,90.7184,"France",8,47,2.9,1.3,1.2,0.461,0,"Prime",0,"Low"
"Franz Wagner","ORL",21,208.28,99.79024,"Germany",8,80,18.6,4.1,3.5,0.589,0,"Young",1,"High"
"Furkan Korkmaz","PHI",25,200.66,91.625584,"Turkey",26,37,3.8,1.1,0.6,0.552,0,"Prime",0,"Low"
"Daniel Gafford","WAS",24,208.28,106.140528,"USA",38,78,9,5.6,1.1,0.739,1,"Early Prime",1,"Medium"
"Damian Lillard","POR",32,187.96,88.45044,"USA",6,58,32.2,4.8,7.3,0.645,1,"Veteran",0,"High"
"Austin Rivers","MIN",30,193.04,90.7184,"USA",10,52,4.9,1.6,1.4,0.564,1,"Veteran",0,"Low"
"Ayo Dosunmu","CHI",23,195.58,90.7184,"USA",38,80,8.6,2.8,2.6,0.567,1,"Young",0,"Medium"
"Bam Adebayo","MIA",25,205.74,115.66596,"USA",14,75,20.4,9.2,3.2,0.592,1,"Prime",1,"High"
"Ben Simmons","BKN",26,208.28,108.86208,"Australia",1,42,6.9,6.3,6.1,0.559,0,"Prime",1,"Medium"
"Bennedict Mathurin","IND",21,195.58,95.25432,"Canada",6,78,16.7,4.1,1.5,0.566,0,"Young",0,"High"
"Bismack Biyombo","PHX",30,203.2,115.66596,"DRC",7,61,4.3,4.3,0.9,0.555,0,"Veteran",1,"Low"
"Blake Griffin","BOS",34,205.74,113.398,"USA",1,41,4.1,3.8,1.5,0.59,1,"Veteran",1,"Low"
"Blake Wesley","SAS",20,193.04,83.91452,"USA",25,37,5,2.2,2.6,0.393,1,"Young",0,"Low"
"Bobby Portis","MIL",28,210.82,113.398,"USA",22,70,14.1,9.6,1.5,0.575,1,"Prime",1,"High"
"Bogdan Bogdanovic","ATL",30,195.58,102.0582,"Serbia",27,54,14,3.1,2.8,0.586,0,"Veteran",0,"High"
"Bojan Bogdanovic","DET",34,200.66,102.511792,"Croatia",31,59,21.6,3.8,2.6,0.627,0,"Veteran",0,"High"
"Bol Bol","ORL",23,218.44,99.79024,"Sudan",44,70,9.1,5.8,1,0.603,0,"Early Prime",1,"Medium"
"Bones Hyland","LAC",22,187.96,76.657048,"USA",26,56,11.8,2.4,3.1,0.535,1,"Young",0,"High"
"Bradley Beal","WAS",30,193.04,93.893544,"USA",3,50,23.2,3.9,5.4,0.593,1,"Veteran",0,"High"
"Brandon Boston Jr.","LAC",21,198.12,85.275296,"USA",51,22,6.5,1.4,0.9,0.515,1,"Young",0,"Medium"
"Anthony Edwards","MIN",21,193.04,102.0582,"USA",1,79,24.6,5.8,4.4,0.564,1,"Early Prime",0,"High"
"Anthony Davis","LAL",30,208.28,114.758776,"USA",1,56,25.9,12.5,2.6,0.627,1,"Veteran",1,"High"
"Anfernee Simons","POR",24,190.5,82.100152,"USA",24,62,21.1,2.6,4.1,0.581,1,"Prime",0,"High"
"Andrew Wiggins","GSW",28,200.66,89.357624,"Canada",1,37,17.1,5,2.3,0.564,0,"Veteran",0,"High"
"AJ Griffin","ATL",19,198.12,99.79024,"USA",16,72,8.9,2.1,1,0.577,1,"Young",0,"Medium"
"Aaron Gordon","DEN",27,203.2,106.59412,"USA",4,68,16.3,6.6,3,0.617,1,"Veteran",1,"High"
"Aaron Holiday","ATL",26,182.88,83.91452,"USA",23,63,3.9,1.2,1.4,0.528,1,"Prime",0,"Low"
"Aaron Nesmith","IND",23,195.58,97.52228,"USA",14,73,10.1,3.8,1.3,0.566,1,"Early Prime",0,"Medium"
"Aaron Wiggins","OKC",24,195.58,86.18248,"USA",55,70,6.8,3,1.1,0.607,1,"Young",0,"Medium"
"Admiral Schofield","ORL",26,195.58,109.315672,"United Kingdom",42,37,4.2,1.7,0.8,0.587,0,"Early Prime",0,"Low"
"Al Horford","BOS",37,205.74,108.86208,"Dominican Republic",3,63,9.8,6.2,3,0.631,0,"Veteran",1,"Medium"
"Brandon Clarke","MEM",26,203.2,97.52228,"Canada",21,56,10,5.5,1.3,0.681,0,"Early Prime",1,"Medium"
"Alec Burks","DET",31,198.12,97.068688,"USA",12,51,12.8,3.1,2.2,0.602,1,"Veteran",0,"High"
"Alex Len","SAC",30,218.44,113.398,"Ukraine",5,26,1.7,2.3,0.5,0.58,0,"Veteran",1,"Low"
"Alize Johnson","SAS",27,203.2,96.161504,"USA",50,4,1.8,2.5,0.3,0.509,1,"Prime",1,"Low"
"Alperen Sengun","HOU",20,210.82,110.222856,"Turkey",16,75,14.8,9,3.9,0.599,0,"Young",1,"High"
"Andre Drummond","CHI",29,210.82,126.552168,"USA",9,67,6,6.6,0.5,0.606,1,"Veteran",1,"Low"
"Andre Iguodala","GSW",39,198.12,97.52228,"USA",9,8,2.1,2.1,2.4,0.521,1,"Veteran",0,"Low"
"Andrew Nembhard","IND",23,190.5,86.636072,"Canada",31,75,9.5,2.7,4.5,0.528,0,"Young",0,"Medium"
"Aleksej Pokusevski","OKC",21,213.36,95.25432,"Serbia",17,34,8.1,4.7,1.9,0.522,0,"Early Prime",1,"Medium"
"Isaiah Livers","DET",24,198.12,105.233344,"USA",42,52,6.7,2.8,0.8,0.567,1,"Young",0,"Medium"
"Brandon Ingram","NOP",25,203.2,86.18248,"USA",2,45,24.7,5.5,5.8,0.582,1,"Prime",1,"High"
"Brook Lopez","MIL",35,215.9,127.912944,"USA",10,78,15.9,6.7,1.3,0.63,1,"Veteran",1,"High"
"Christian Braun","DEN",22,198.12,99.79024,"USA",21,76,4.7,2.4,0.8,0.568,1,"Young",0,"Low"
"Christian Koloko","TOR",23,213.36,104.32616,"Cameroon",33,58,3.1,2.9,0.5,0.517,0,"Young",1,"Low"
"Chuma Okeke","ORL",24,203.2,103.872568,"USA",16,27,4.7,3.6,1.4,0.488,1,"Early Prime",1,"Low"
"Clint Capela","ATL",29,208.28,116.119552,"Switzerland",25,65,12,11,0.9,0.656,0,"Veteran",1,"High"
"Coby White","CHI",23,195.58,88.45044,"USA",7,74,9.7,2.9,2.8,0.572,1,"Early Prime",0,"Medium"
"Cody Martin","CHA",27,198.12,92.98636,"USA",36,7,5,3.4,1.6,0.448,1,"Early Prime",0,"Low"
"Cody Zeller","MIA",30,210.82,108.86208,"USA",4,15,6.5,4.3,0.7,0.659,1,"Veteran",1,"Medium"
"Cole Anthony","ORL",23,190.5,83.91452,"USA",15,60,13,4.8,3.9,0.57,1,"Early Prime",0,"High"
"Collin Sexton","UTA",24,187.96,86.18248,"USA",8,48,14.3,2.2,2.9,0.616,1,"Prime",0,"High"
"Corey Kispert","WAS",24,198.12,101.604608,"USA",15,74,11.1,2.8,1.2,0.657,1,"Young",0,"Medium"
"Cory Joseph","DET",31,190.5,90.7184,"Canada",29,62,6.9,1.7,3.5,0.558,0,"Veteran",0,"Medium"
"D'Angelo Russell","LAL",27,193.04,87.543256,"USA",2,71,17.8,3,6.2,0.605,1,"Prime",0,"High"
"Dalano Banton","TOR",23,200.66,92.532768,"Canada",46,31,4.6,1.5,1.2,0.505,0,"Young",0,"Low"
"Dalen Terry","CHI",20,200.66,88.45044,"USA",18,38,2.2,1,0.6,0.523,1,"Young",0,"Low"
"Damian Jones","UTA",28,210.82,111.13004,"USA",30,41,3.5,3,0.4,0.719,1,"Prime",1,"Low"
"Chris Paul","PHX",38,182.88,79.3786,"USA",4,59,13.9,4.3,8.9,0.555,1,"Veteran",0,"High"
"Chris Duarte","IND",26,195.58,86.18248,"Dominican Republic",13,46,7.9,2.5,1.4,0.496,0,"Young",0,"Medium"
"Chimezie Metu","SAC",26,205.74,102.0582,"USA",49,66,4.9,3,0.6,0.639,1,"Prime",1,"Low"
"Bruce Brown","DEN",26,193.04,91.625584,"USA",42,80,11.5,4.1,3.4,0.571,1,"Prime",0,"Medium"
"Bruno Fernando","ATL",24,208.28,108.86208,"Angola",34,39,3.9,3.5,0.8,0.571,0,"Early Prime",1,"Low"
"Bryce McGowens","CHA",20,198.12,79.3786,"USA",40,46,5.3,2,1.2,0.519,1,"Young",0,"Low"
"Buddy Hield","IND",30,193.04,99.79024,"Bahamas",6,80,16.8,5,2.8,0.614,0,"Prime",0,"High"
"CJ McCollum","NOP",31,190.5,86.18248,"USA",10,75,20.9,4.4,5.7,0.541,1,"Veteran",0,"High"
"Cade Cunningham","DET",21,200.66,99.79024,"USA",1,12,19.9,6.2,6,0.492,1,"Young",0,"High"
"Caleb Houstan","ORL",20,203.2,92.98636,"Canada",32,51,3.8,1.9,0.6,0.508,0,"Young",1,"Low"
"Cam Thomas","BKN",21,190.5,95.25432,"Japan",27,57,10.6,1.7,1.4,0.567,0,"Young",0,"Medium"
"Cameron Johnson","BKN",27,203.2,95.25432,"USA",11,42,15.5,4.4,1.9,0.617,1,"Early Prime",1,"High"
"Cameron Payne","PHX",28,185.42,83.007336,"USA",14,48,10.3,2.2,4.5,0.512,1,"Prime",0,"Medium"
"Caris LeVert","CLE",28,198.12,92.98636,"USA",20,74,12.1,3.8,3.9,0.546,1,"Prime",0,"High"
"Cedi Osman","CLE",28,200.66,104.32616,"Turkey",31,77,8.7,2.3,1.5,0.579,0,"Prime",0,"Medium"
"Charles Bassey","SAS",22,205.74,104.32616,"Nigeria",53,35,5.7,5.5,1.4,0.658,0,"Young",1,"Low"
"Cam Reddish","POR",23,200.66,98.429464,"USA",10,40,9.7,2.2,1.4,0.561,1,"Early Prime",0,"Medium"
"Michael Carter-Williams","ORL",31,195.58,86.18248,"USA",11,4,4.3,1.3,1.8,0.498,1,"Veteran",0,"Low"
"Isaiah Mobley","CLE",23,203.2,107.954896,"USA",49,12,2.6,1.7,0.3,0.521,1,"Young",1,"Low"
"Isaiah Stewart","DET",22,203.2,113.398,"USA",16,50,11.3,8.1,1.4,0.56,1,"Early Prime",1,"Medium"
"Kenyon Martin Jr.","HOU",22,200.66,97.52228,"USA",52,82,12.7,5.5,1.5,0.635,1,"Early Prime",0,"High"
"Keon Johnson","POR",21,190.5,83.91452,"USA",21,40,4.7,1.1,1.5,0.482,1,"Young",0,"Low"
"Kessler Edwards","SAC",22,200.66,92.079176,"USA",44,36,2.8,1.7,0.6,0.502,1,"Young",0,"Low"
"Kevin Durant","PHX",34,208.28,108.86208,"USA",2,47,29.1,6.7,5,0.677,1,"Veteran",1,"High"
"Kevin Huerter","SAC",24,200.66,89.811216,"USA",19,75,15.2,3.3,2.9,0.617,1,"Prime",0,"High"
"Kevin Knox II","POR",23,200.66,97.52228,"USA",9,63,6.6,2.8,0.5,0.579,1,"Prime",0,"Medium"
"Kevin Love","MIA",34,203.2,113.851592,"USA",5,62,8.2,6.4,1.9,0.548,1,"Veteran",1,"Medium"
"Kevin Porter Jr.","HOU",23,193.04,92.079176,"USA",30,59,19.2,5.3,5.7,0.565,1,"Early Prime",0,"High"
"Kevon Looney","GSW",27,205.74,100.697424,"USA",30,82,7,9.3,2.5,0.639,1,"Prime",1,"Medium"
"Khris Middleton","MIL",31,200.66,100.697424,"USA",39,33,15.1,4.2,4.9,0.551,1,"Veteran",0,"High"
"Killian Hayes","DET",21,195.58,88.45044,"France",7,76,10.3,2.9,6.2,0.455,0,"Early Prime",0,"Medium"
"Kira Lewis Jr.","NOP",22,185.42,77.11064,"USA",13,25,4.6,1.3,0.9,0.584,1,"Early Prime",0,"Low"
"Klay Thompson","GSW",33,198.12,99.79024,"USA",11,69,21.9,4.1,2.4,0.576,1,"Veteran",0,"High"
"Kris Dunn","UTA",29,190.5,92.98636,"USA",5,22,13.2,4.5,5.6,0.606,1,"Prime",0,"High"
"Kristaps Porzingis","WAS",27,220.98,108.86208,"Latvia",4,65,23.2,8.4,2.7,0.627,0,"Prime",1,"High"
"Kentavious Caldwell-Pope","DEN",30,195.58,92.532768,"USA",8,76,10.8,2.7,2.4,0.598,1,"Veteran",0,"Medium"
"Kyle Anderson","MIN",29,205.74,104.32616,"USA",30,69,9.4,5.3,4.9,0.583,1,"Veteran",1,"Medium"
"Kennedy Chandler","MEM",20,180.34,77.11064,"USA",38,36,2.2,1.1,1.6,0.44,1,"Young",0,"Low"
"Julius Randle","NYK",28,203.2,113.398,"USA",7,77,25.1,10,4.1,0.581,1,"Veteran",1,"High"
"Justin Jackson","BOS",28,203.2,99.79024,"USA",15,23,0.9,0.7,0.4,0.359,1,"Prime",1,"Low"
"Justise Winslow","POR",27,198.12,100.697424,"USA",10,29,6.8,5,3.4,0.466,1,"Prime",0,"Medium"
"Jusuf Nurkic","POR",28,213.36,131.54168,"Bosnia and Herzegovina",16,52,13.3,9.1,2.9,0.589,0,"Veteran",1,"High"
"KZ Okpala","SAC",24,203.2,97.52228,"USA",32,35,1.3,1,0.4,0.554,1,"Early Prime",1,"Low"
"Kai Jones","CHA",22,210.82,100.243832,"Bahamas",19,46,3.4,2.7,0.3,0.597,0,"Young",1,"Low"
"Karl-Anthony Towns","MIN",27,213.36,112.490816,"USA",1,29,20.8,8.1,4.8,0.618,1,"Prime",1,"High"
"Kawhi Leonard","LAC",32,200.66,102.0582,"USA",15,52,23.8,6.5,3.9,0.623,1,"Veteran",0,"High"
"Keegan Murray","SAC",22,203.2,102.0582,"USA",4,80,12.2,4.6,1.2,0.597,1,"Young",1,"High"
"Keita Bates-Diop","SAS",27,203.2,103.872568,"USA",48,67,9.7,3.7,1.5,0.609,1,"Prime",1,"Medium"
"Keldon Johnson","SAS",23,195.58,99.79024,"USA",29,63,22,5,2.9,0.551,1,"Early Prime",0,"High"
"Kelly Olynyk","UTA",32,210.82,108.86208,"Canada",13,68,12.5,6.2,3.7,0.643,0,"Veteran",1,"High"
"Kelly Oubre Jr.","CHA",27,198.12,92.079176,"USA",15,48,20.3,5.2,1.1,0.534,1,"Prime",0,"High"
"Kemba Walker","DAL",33,182.88,83.460928,"USA",9,9,8,1.8,2.1,0.543,1,"Veteran",0,"Medium"
"Kendall Brown","IND",20,200.66,92.98636,"USA",48,6,1.5,1,0.5,0.571,1,"Young",0,"Low"
"Kyle Kuzma","WAS",27,205.74,100.243832,"USA",27,64,21.2,7.2,3.7,0.544,1,"Prime",1,"High"
"Kyle Lowry","MIA",37,182.88,88.904032,"USA",24,55,11.2,4.1,5.1,0.565,1,"Veteran",0,"Medium"
"Kyrie Irving","DAL",31,187.96,88.45044,"Australia",1,60,27.1,5.1,5.5,0.613,0,"Veteran",0,"High"
"MarJon Beauchamp","MIL",22,200.66,90.264808,"USA",24,52,5.1,2.2,0.7,0.513,1,"Young",0,"Low"
"Marcus Morris Sr.","LAC",33,203.2,98.883056,"USA",14,65,11.2,4,1.8,0.534,1,"Veteran",1,"Medium"
"Marcus Smart","BOS",29,193.04,99.79024,"USA",6,61,11.5,3.1,6.3,0.538,1,"Veteran",0,"Medium"
"Mark Williams","CHA",21,213.36,108.86208,"USA",15,43,9,7.1,0.4,0.659,1,"Young",1,"Medium"
"Markelle Fultz","ORL",25,193.04,94.800728,"USA",1,60,14,3.9,5.7,0.564,1,"Prime",0,"High"
"Markieff Morris","DAL",33,205.74,111.13004,"USA",13,35,3.8,2,0.9,0.553,1,"Veteran",1,"Low"
"Marko Simonovic","CHI",23,213.36,99.79024,"Montenegro",44,7,0.9,0.3,0,0.381,0,"Early Prime",1,"Low"
"Marvin Bagley III","DET",24,208.28,106.59412,"USA",2,42,12,6.4,0.9,0.587,1,"Prime",1,"High"
"Mason Plumlee","LAC",33,213.36,115.212368,"USA",22,79,10.8,8.9,3.1,0.689,1,"Veteran",1,"Medium"
"Matisse Thybulle","POR",26,195.58,91.171992,"USA",20,71,4.1,2,0.7,0.552,1,"Early Prime",0,"Low"
"Max Christie","LAL",20,195.58,86.18248,"USA",35,41,3.1,1.8,0.5,0.566,1,"Young",0,"Low"
"Meyers Leonard","MIL",31,213.36,117.93392,"USA",11,9,4.8,3.8,0.1,0.652,1,"Veteran",1,"Low"
"Mfiondu Kabengele","BOS",25,208.28,113.398,"Canada",27,4,1.5,2.5,0,0.381,0,"Early Prime",1,"Low"
"Malik Monk","SAC",25,190.5,90.7184,"USA",11,77,13.5,2.6,3.9,0.587,1,"Prime",0,"High"
"Malik Beasley","LAL",26,193.04,84.821704,"USA",19,81,12.7,3.5,1.5,0.531,1,"Prime",0,"High"
