"player_name","team_abbreviation","age","player_height","player_weight","country","draft_number","gp","pts","reb","ast","ts_pct","from_US","draft_year_cat","is_tall","sc_level"
"Jakob Poeltl","TOR",27,215.9,111.13004,"Austria",9,72,12.5,9.1,2.7,0.635,0,"Prime",1,"High"
"Isaiah Roby","NYK",25,203.2,104.32616,"USA",45,42,4.1,2.6,0.9,0.497,1,"Early Prime",1,"Low"
"Jaxson Hayes","NOP",23,213.36,99.79024,"USA",8,47,5,2.8,0.7,0.605,1,"Early Prime",1,"Low"
"Jay Scrubb","ORL",22,195.58,99.79024,"USA",55,2,6.5,3,0.5,0.825,1,"Early Prime",0,"Medium"
"Jonas Valanciunas","NOP",31,210.82,120.20188,"Lithuania",5,79,14.1,10.2,1.8,0.61,0,"Veteran",1,"High"
"Jonathan Isaac","ORL",25,208.28,104.32616,"USA",6,11,5,4,0.5,0.483,1,"Prime",1,"Low"
"Jonathan Kuminga","GSW",20,200.66,102.0582,"DRC",7,67,9.9,3.4,1.9,0.597,0,"Young",0,"Medium"
"Jordan Clarkson","UTA",31,195.58,87.996848,"USA",46,61,20.8,4,4.4,0.558,1,"Veteran",0,"High"
"Jordan Nwora","IND",24,205.74,102.0582,"USA",45,62,8.7,3.7,1.4,0.561,1,"Early Prime",1,"Medium"
"Jordan Poole","GSW",24,193.04,87.996848,"USA",28,82,20.4,2.7,4.5,0.573,1,"Early Prime",0,"High"
"Josh Christopher","HOU",21,193.04,97.52228,"USA",24,64,5.8,1.1,1.1,0.523,1,"Young",0,"Low"
"Josh Giddey","OKC",20,203.2,97.975872,"Australia",6,76,16.6,7.9,6.2,0.533,0,"Young",1,"High"
"Josh Green","DAL",22,200.66,90.7184,"Australia",18,60,9.1,3,1.7,0.645,0,"Early Prime",0,"Medium"
"Josh Hart","NYK",28,193.04,97.52228,"USA",30,76,9.8,7.8,3.8,0.622,1,"Prime",0,"Medium"
"Josh Minott","MIN",20,203.2,92.98636,"USA",45,15,3.1,1.7,0.3,0.582,1,"Young",1,"Low"
"Josh Okogie","PHX",24,193.04,96.615096,"Nigeria",20,72,7.3,3.5,1.5,0.531,0,"Prime",0,"Medium"
"Josh Richardson","NOP",29,198.12,90.7184,"USA",40,65,10.1,2.7,2.7,0.555,1,"Prime",0,"Medium"
"Joshua Primo","SAS",20,198.12,85.728888,"Canada",12,4,7,3.3,4.5,0.467,0,"Young",0,"Medium"
"Johnny Davis","WAS",21,193.04,88.45044,"USA",10,28,5.8,2.3,1,0.446,1,"Young",0,"Low"
"John Wall","LAC",32,190.5,95.25432,"USA",1,34,11.4,2.7,5.2,0.497,1,"Veteran",0,"Medium"
"Jaylen Brown","BOS",26,198.12,101.151016,"USA",3,67,26.6,6.9,3.5,0.581,1,"Prime",0,"High"
"Jaylen Nowell","MIN",23,193.04,91.171992,"USA",43,65,10.8,2.6,2,0.527,1,"Early Prime",0,"Medium"
"Jaylin Williams","OKC",21,205.74,108.86208,"USA",34,49,5.9,4.9,1.6,0.559,1,"Young",1,"Low"
"Jayson Tatum","BOS",25,203.2,95.25432,"USA",3,74,30.1,8.8,4.6,0.607,1,"Prime",1,"High"
"Jeff Green","DEN",36,203.2,106.59412,"USA",5,56,7.8,2.6,1.2,0.576,1,"Veteran",1,"Medium"
"Jerami Grant","POR",29,203.2,95.25432,"USA",39,63,20.5,4.5,2.4,0.606,1,"Veteran",1,"High"
"Jeremiah Robinson-Earl","OKC",22,203.2,108.86208,"USA",32,43,6.8,4.2,1,0.548,1,"Young",1,"Medium"
"Jeremy Sochan","SAS",20,203.2,104.32616,"Poland",9,56,11,5.3,2.5,0.509,0,"Young",1,"Medium"
"Jevon Carter","MIL",27,185.42,90.7184,"USA",32,81,8,2.5,2.4,0.56,1,"Prime",0,"Medium"
"Jimmy Butler","MIA",33,200.66,104.32616,"USA",30,64,22.9,5.9,5.3,0.647,1,"Veteran",0,"High"
"Joe Harris","BKN",31,198.12,99.79024,"USA",33,74,7.6,2.2,1.4,0.621,1,"Veteran",0,"Medium"
"Joe Wieskamp","TOR",23,198.12,92.98636,"USA",41,9,1,0.4,0.3,0.321,1,"Young",0,"Low"
"Joel Embiid","PHI",29,213.36,127.00576,"Cameroon",3,66,33.1,10.2,4.2,0.655,0,"Veteran",1,"High"
"John Collins","ATL",25,205.74,102.511792,"USA",19,71,13.1,6.5,1.2,0.593,1,"Prime",1,"High"
"Jericho Sims","NYK",24,208.28,113.398,"USA",58,52,3.4,4.7,0.5,0.78,1,"Young",1,"Low"
